model,feature_selection,number_of_features,train_accuracy,test_accuracy,training_time,train_prediction_time,testing_time,train_classification_report,test_classification_report,accuracy_gap
Extra Trees,F-Classif,350,0.999727965179543,0.9321343739395996,7.082263708114624,0.2792732715606689,0.1618587970733642,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.99      0.88      0.93       491
          STANDING       0.91      0.99      0.95       532
           WALKING       0.91      0.94      0.92       496
WALKING_DOWNSTAIRS       0.94      0.83      0.88       420
  WALKING_UPSTAIRS       0.86      0.93      0.89       471

          accuracy                           0.93      2947
         macro avg       0.93      0.93      0.93      2947
      weighted avg       0.93      0.93      0.93      2947
",0.06759359123994335
Extra Trees,Mutual Information,350,0.9998639825897716,0.9267051238547676,18.919984102249146,0.3307983875274658,0.1640021800994873,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.98      0.86      0.92       491
          STANDING       0.89      0.98      0.94       532
           WALKING       0.91      0.94      0.92       496
WALKING_DOWNSTAIRS       0.94      0.83      0.88       420
  WALKING_UPSTAIRS       0.86      0.92      0.89       471

          accuracy                           0.93      2947
         macro avg       0.93      0.92      0.92      2947
      weighted avg       0.93      0.93      0.93      2947
",0.07315885873500405
Extra Trees,RFE,350,1.0,0.9368849677638276,49.14592218399048,0.3521537780761719,0.1942865848541259,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.96      0.86      0.91       491
          STANDING       0.89      0.97      0.93       532
           WALKING       0.93      0.97      0.95       496
WALKING_DOWNSTAIRS       0.96      0.86      0.91       420
  WALKING_UPSTAIRS       0.89      0.94      0.92       471

          accuracy                           0.94      2947
         macro avg       0.94      0.93      0.93      2947
      weighted avg       0.94      0.94      0.94      2947
",0.06311503223617243
Logistic Regression,F-Classif,350,0.9832698585418934,0.9552086868001356,1.7093863487243652,0.0522048473358154,0.02001953125,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.96      0.95      0.95      1286
          STANDING       0.95      0.96      0.96      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.87      0.91       491
          STANDING       0.89      0.96      0.93       532
           WALKING       0.92      1.00      0.96       496
WALKING_DOWNSTAIRS       1.00      0.97      0.98       420
  WALKING_UPSTAIRS       0.98      0.92      0.95       471

          accuracy                           0.96      2947
         macro avg       0.96      0.95      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.028061171741757818
Logistic Regression,Mutual Information,350,0.9795973884657236,0.9487614523243976,12.94979190826416,0.0472133159637451,0.0266475677490234,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.95      0.93      0.94      1286
          STANDING       0.94      0.95      0.95      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.95      0.86      0.90       491
          STANDING       0.88      0.96      0.92       532
           WALKING       0.91      1.00      0.95       496
WALKING_DOWNSTAIRS       1.00      0.96      0.98       420
  WALKING_UPSTAIRS       0.97      0.91      0.94       471

          accuracy                           0.95      2947
         macro avg       0.95      0.95      0.95      2947
      weighted avg       0.95      0.95      0.95      2947
",0.03083593614132607
Logistic Regression,RFE,350,0.9933351468988032,0.9623345775364778,43.23736047744751,0.0541472434997558,0.0191256999969482,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.98      0.98      0.98      1286
          STANDING       0.98      0.98      0.98      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.99      7352
         macro avg       0.99      0.99      0.99      7352
      weighted avg       0.99      0.99      0.99      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.88      0.92       491
          STANDING       0.90      0.97      0.93       532
           WALKING       0.96      1.00      0.98       496
WALKING_DOWNSTAIRS       0.99      0.97      0.98       420
  WALKING_UPSTAIRS       0.97      0.96      0.97       471

          accuracy                           0.96      2947
         macro avg       0.96      0.96      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.031000569362325425
KNN,F-Classif,350,1.0,0.8724126230064473,0.1649324893951416,2.958041191101074,0.1352412700653076,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.89      0.73      0.80       491
          STANDING       0.79      0.92      0.85       532
           WALKING       0.82      0.94      0.87       496
WALKING_DOWNSTAIRS       0.94      0.74      0.83       420
  WALKING_UPSTAIRS       0.84      0.87      0.86       471

          accuracy                           0.87      2947
         macro avg       0.88      0.87      0.87      2947
      weighted avg       0.88      0.87      0.87      2947
",0.12758737699355271
KNN,Mutual Information,350,1.0,0.8853070919579233,11.892127513885498,0.4127976894378662,0.1741669178009033,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.90      0.83      0.86       491
          STANDING       0.85      0.92      0.88       532
           WALKING       0.81      0.94      0.87       496
WALKING_DOWNSTAIRS       0.94      0.70      0.80       420
  WALKING_UPSTAIRS       0.83      0.89      0.86       471

          accuracy                           0.89      2947
         macro avg       0.89      0.88      0.88      2947
      weighted avg       0.89      0.89      0.88      2947
",0.11469290804207666
KNN,RFE,350,1.0,0.9056667797760436,41.7944130897522,0.6345682144165039,0.2862446308135986,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      0.97      0.98       537
           SITTING       0.92      0.84      0.88       491
          STANDING       0.86      0.94      0.90       532
           WALKING       0.86      0.96      0.91       496
WALKING_DOWNSTAIRS       0.94      0.78      0.85       420
  WALKING_UPSTAIRS       0.88      0.91      0.89       471

          accuracy                           0.91      2947
         macro avg       0.91      0.90      0.90      2947
      weighted avg       0.91      0.91      0.91      2947
",0.0943332202239564
RBF SVM,F-Classif,350,0.9793253536452666,0.9334916864608076,0.7249972820281982,1.981916904449463,0.8143601417541504,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.95      0.94      0.94      1286
          STANDING       0.94      0.95      0.94      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.95      0.85      0.89       491
          STANDING       0.87      0.96      0.91       532
           WALKING       0.90      0.97      0.93       496
WALKING_DOWNSTAIRS       0.98      0.90      0.94       420
  WALKING_UPSTAIRS       0.92      0.92      0.92       471

          accuracy                           0.93      2947
         macro avg       0.94      0.93      0.93      2947
      weighted avg       0.94      0.93      0.93      2947
",0.045833667184459026
