model,feature_selection,number_of_features,train_accuracy,test_accuracy,training_time,train_prediction_time,testing_time,train_classification_report,test_classification_report,accuracy_gap
Logistic Regression,RFE,350,0.9933351468988032,0.9623345775364778,37.9452874660492,0.042384386062622,0.0262784957885742,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.98      0.98      0.98      1286
          STANDING       0.98      0.98      0.98      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.99      7352
         macro avg       0.99      0.99      0.99      7352
      weighted avg       0.99      0.99      0.99      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.88      0.92       491
          STANDING       0.90      0.97      0.93       532
           WALKING       0.96      1.00      0.98       496
WALKING_DOWNSTAIRS       0.99      0.97      0.98       420
  WALKING_UPSTAIRS       0.97      0.96      0.97       471

          accuracy                           0.96      2947
         macro avg       0.96      0.96      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.031000569362325425
LDA,RFE,350,0.9813656147986942,0.9606379368849678,37.62130522727966,0.0472819805145263,0.0157577991485595,"                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00      1407
           SITTING       0.95      0.94      0.95      1286
          STANDING       0.96      0.96      0.96      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.94      0.88      0.91       491
          STANDING       0.89      0.95      0.92       532
           WALKING       0.98      0.99      0.98       496
WALKING_DOWNSTAIRS       1.00      0.97      0.98       420
  WALKING_UPSTAIRS       0.96      0.98      0.97       471

          accuracy                           0.96      2947
         macro avg       0.96      0.96      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.020727677913726428
Logistic Regression,F-Classif,350,0.9832698585418934,0.9552086868001356,1.581486463546753,0.0410711765289306,0.0349678993225097,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.96      0.95      0.95      1286
          STANDING       0.95      0.96      0.96      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.87      0.91       491
          STANDING       0.89      0.96      0.93       532
           WALKING       0.92      1.00      0.96       496
WALKING_DOWNSTAIRS       1.00      0.97      0.98       420
  WALKING_UPSTAIRS       0.98      0.92      0.95       471

          accuracy                           0.96      2947
         macro avg       0.96      0.95      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.028061171741757818
Logistic Regression,all_features,350,0.9832698585418934,0.9552086868001356,1.6247498989105225,0.0470590591430664,0.0343761444091796,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.96      0.95      0.95      1286
          STANDING       0.95      0.96      0.96      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.87      0.91       491
          STANDING       0.89      0.96      0.93       532
           WALKING       0.92      1.00      0.96       496
WALKING_DOWNSTAIRS       1.00      0.97      0.98       420
  WALKING_UPSTAIRS       0.98      0.92      0.95       471

          accuracy                           0.96      2947
         macro avg       0.96      0.95      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.028061171741757818
RBF SVM,RFE,350,0.9976877040261154,0.9538513742789276,39.441184759140015,2.318578720092773,0.8322391510009766,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.99      1.00      0.99      1286
          STANDING       1.00      0.99      0.99      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.96      0.89      0.92       491
          STANDING       0.91      0.96      0.94       532
           WALKING       0.97      0.97      0.97       496
WALKING_DOWNSTAIRS       0.97      0.93      0.95       420
  WALKING_UPSTAIRS       0.92      0.97      0.94       471

          accuracy                           0.95      2947
         macro avg       0.95      0.95      0.95      2947
      weighted avg       0.95      0.95      0.95      2947
",0.04383632974718776
LDA,all_features,350,0.973340587595212,0.9504580929759076,0.800429105758667,0.0540111064910888,0.0226902961730957,"                    precision    recall  f1-score   support

            LAYING       0.99      1.00      0.99      1407
           SITTING       0.94      0.91      0.93      1286
          STANDING       0.93      0.95      0.94      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.97      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.97      0.97      0.97      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.97      0.81      0.88       491
          STANDING       0.85      0.97      0.91       532
           WALKING       0.97      0.99      0.98       496
WALKING_DOWNSTAIRS       1.00      0.95      0.97       420
  WALKING_UPSTAIRS       0.94      0.98      0.96       471

          accuracy                           0.95      2947
         macro avg       0.96      0.95      0.95      2947
      weighted avg       0.95      0.95      0.95      2947
",0.022882494619304472
LDA,F-Classif,350,0.973340587595212,0.9504580929759076,0.8955667018890381,0.0472805500030517,0.0313057899475097,"                    precision    recall  f1-score   support

            LAYING       0.99      1.00      0.99      1407
           SITTING       0.94      0.91      0.93      1286
          STANDING       0.93      0.95      0.94      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.97      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.97      0.97      0.97      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.97      0.81      0.88       491
          STANDING       0.85      0.97      0.91       532
           WALKING       0.97      0.99      0.98       496
WALKING_DOWNSTAIRS       1.00      0.95      0.97       420
  WALKING_UPSTAIRS       0.94      0.98      0.96       471

          accuracy                           0.95      2947
         macro avg       0.96      0.95      0.95      2947
      weighted avg       0.95      0.95      0.95      2947
",0.022882494619304472
Logistic Regression,Mutual Information,350,0.9795973884657236,0.9487614523243976,11.233067750930786,0.0531754493713378,0.0160188674926757,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.95      0.93      0.94      1286
          STANDING       0.94      0.95      0.95      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.95      0.86      0.90       491
          STANDING       0.88      0.96      0.92       532
           WALKING       0.91      1.00      0.95       496
WALKING_DOWNSTAIRS       1.00      0.96      0.98       420
  WALKING_UPSTAIRS       0.97      0.91      0.94       471

          accuracy                           0.95      2947
         macro avg       0.95      0.95      0.95      2947
      weighted avg       0.95      0.95      0.95      2947
",0.03083593614132607
LDA,Mutual Information,350,0.9691240478781284,0.9457074991516796,10.56670594215393,0.0490283966064453,0.0235648155212402,"                    precision    recall  f1-score   support

            LAYING       0.99      1.00      0.99      1407
           SITTING       0.93      0.90      0.92      1286
          STANDING       0.92      0.94      0.93      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      0.99      1.00       986
  WALKING_UPSTAIRS       0.99      1.00      0.99      1073

          accuracy                           0.97      7352
         macro avg       0.97      0.97      0.97      7352
      weighted avg       0.97      0.97      0.97      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.82      0.88       491
          STANDING       0.85      0.97      0.91       532
           WALKING       0.95      0.99      0.97       496
WALKING_DOWNSTAIRS       1.00      0.93      0.97       420
  WALKING_UPSTAIRS       0.94      0.96      0.95       471

          accuracy                           0.95      2947
         macro avg       0.95      0.94      0.95      2947
      weighted avg       0.95      0.95      0.95      2947
",0.023416548726448827
Extra Trees,RFE,350,1.0,0.9368849677638276,43.367987394332886,0.2929487228393554,0.1689543724060058,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.96      0.86      0.91       491
          STANDING       0.89      0.97      0.93       532
           WALKING       0.93      0.97      0.95       496
WALKING_DOWNSTAIRS       0.96      0.86      0.91       420
  WALKING_UPSTAIRS       0.89      0.94      0.92       471

          accuracy                           0.94      2947
         macro avg       0.94      0.93      0.93      2947
      weighted avg       0.94      0.94      0.94      2947
",0.06311503223617243
